Model,Make,Year,vehicle_age,Kilometres,BodyType,engine_displacement,cylinder_count,Transmission,Drivetrain,FuelType,City,Highway,avg_fuel_efficiency,Price,model_frequency,model_frequency_log
Sportage,Kia,2018,7.0,81250.0,SUV,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,10.300000190734863,7.800000190734863,9.050000190734863,24999.0,70,4.2626798770413155
Forte,Kia,2020,5.0,77565.0,Sedan,2.0,3.5,CVT,FWD,Gasoline,7.900000095367432,5.900000095367432,6.900000095367432,25299.0,83,4.430816798843313
Sportage,Kia,2018,7.0,62600.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,Gasoline,10.399999618530273,8.0,9.199999809265137,25488.0,70,4.2626798770413155
Forte,Kia,2019,6.0,79946.0,Sedan,2.0,4.0,MANUAL,FWD,REGULAR UNLEADED,7.699999809265137,5.900000095367432,6.799999952316284,18883.0,83,4.430816798843313
Sorento,Kia,2018,7.0,115194.0,SUV,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,11.199999809265137,8.300000190734863,9.75,25858.0,96,4.574710978503383
Sorento,Kia,2019,6.0,76440.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,27888.0,96,4.574710978503383
Forte,Kia,2021,4.0,76321.0,Sedan,2.0,3.5,CVT,FWD,Gasoline,7.800000190734863,5.900000095367432,6.8500001430511475,27995.0,83,4.430816798843313
Seltos,Kia,2023,2.0,99.0,SUV,2.0,6.0,CVT,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,33845.0,37,3.6375861597263857
K5,Kia,2022,3.0,29606.0,Sedan,1.600000023841858,6.0,8 SPEED AUTOMATIC,Unknown,Gasoline,8.699999809265137,6.400000095367432,7.549999952316284,34999.0,11,2.4849066497880004
K5,Kia,2021,4.0,19512.0,Sedan,1.600000023841858,6.0,8 SPEED AUTOMATIC,Unknown,Gasoline,9.199999809265137,6.900000095367432,8.049999952316284,36999.0,11,2.4849066497880004
Sorento,Kia,2021,4.0,26740.0,SUV,2.5,6.0,AUTOMATIC,AWD,Gasoline,11.100000381469727,8.399999618530273,9.75,40888.0,96,4.574710978503383
Seltos,Kia,2022,3.0,17785.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,9.399999618530273,7.900000095367432,8.649999856948853,40995.0,37,3.6375861597263857
Seltos,Kia,2022,3.0,18245.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,9.399999618530273,7.900000095367432,8.649999856948853,40995.0,37,3.6375861597263857
Sorento,Kia,2021,4.0,15132.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,11.100000381469727,8.399999618530273,9.75,43888.0,96,4.574710978503383
K5,Kia,2023,2.0,3442.0,Sedan,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,9.300000190734863,7.0,8.150000095367432,43999.0,11,2.4849066497880004
Sorento,Kia,2022,3.0,9497.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,6.400000095367432,7.0,6.700000047683716,45387.0,96,4.574710978503383
Sorento,Kia,2022,3.0,6560.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,6.400000095367432,7.0,6.700000047683716,45387.0,96,4.574710978503383
Soul,Kia,2022,3.0,10068.0,Hatchback,2.0,3.0,CVT,FWD,Gasoline,8.5,7.0,7.75,27189.0,58,4.07753744390572
Sorento,Kia,2022,3.0,4201.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,10.899999618530273,8.699999809265137,9.799999713897705,53174.0,96,4.574710978503383
Sorento,Kia,2022,3.0,38125.0,SUV,1.600000023841858,6.0,AUTOMATIC,AWD,Gasoline,6.699999809265137,7.099999904632568,6.8999998569488525,68995.0,96,4.574710978503383
Rio,Kia,2014,11.0,206665.0,Hatchback,1.600000023841858,4.0,6 SPEED MANUAL,FWD,Gasoline,6.800000190734863,5.300000190734863,6.050000190734863,8999.0,31,3.4657359027997265
Sportage,Kia,2013,12.0,156052.0,SUV,2.4000000953674316,4.0,AUTOMATIC,FWD,REGULAR UNLEADED,9.699999809265137,6.5,8.099999904632568,12450.0,70,4.2626798770413155
Soul,Kia,2013,12.0,121668.0,Wagon,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.5,6.699999809265137,7.599999904632568,13988.0,58,4.07753744390572
